Fréquence (Hz)	Niveau (dB)
13640.625000	-44.355484
13687.500000	-44.042645
13734.375000	-44.710163
13781.250000	-46.676872
13828.125000	-49.340542
13875.000000	-52.093357
13921.875000	-54.726295
13968.750000	-55.214581
14015.625000	-56.063179
14062.500000	-57.199474
14109.375000	-60.571735
14156.250000	-59.447834
14203.125000	-56.644951
14250.000000	-54.990520
14296.875000	-55.105911
14343.750000	-56.563427
14390.625000	-57.781296
14437.500000	-60.474533
14484.375000	-60.485966
14531.250000	-59.546177
14578.125000	-56.922409
14625.000000	-55.441269
14671.875000	-55.116783
14718.750000	-54.849876
14765.625000	-55.962364
14812.500000	-57.065651
14859.375000	-59.203110
14906.250000	-62.398045
14953.125000	-61.581394
15000.000000	-60.991833
15046.875000	-59.919060
15093.750000	-61.733418
15140.625000	-62.273224
15187.500000	-62.819084
15234.375000	-63.896439
15281.250000	-62.883976
15328.125000	-63.516838
15375.000000	-61.322163
15421.875000	-61.431213
15468.750000	-61.330826
15515.625000	-62.041069
15562.500000	-62.206810
15609.375000	-61.052502
15656.250000	-63.924854
15703.125000	-65.583351
15750.000000	-66.082443
15796.875000	-61.906834
15843.750000	-59.894627
15890.625000	-55.394634
15937.500000	-51.282852
15984.375000	-48.439659
16031.250000	-46.508308
16078.125000	-46.074444
16125.000000	-46.487537
16171.875000	-48.639912
16218.750000	-52.182125
16265.625000	-58.681137
16312.500000	-58.620522
16359.375000	-55.914013
16406.250000	-55.659134
16453.125000	-60.133949
16500.000000	-74.901733
16546.875000	-60.005592
16593.750000	-55.324814
16640.625000	-52.977825
16687.500000	-53.333065
16734.375000	-54.601696
16781.250000	-58.618038
16828.125000	-64.749527
16875.000000	-103.196373
16921.875000	-70.189697
16968.750000	-67.268585
17015.625000	-67.981842
17062.500000	-68.480232
17109.375000	-68.786858
17156.250000	-66.203880
17203.125000	-68.659760
17250.000000	-70.447701
17296.875000	-81.922775
17343.750000	-81.627838
17390.625000	-72.937881
17437.500000	-71.058792
17484.375000	-70.845146
17531.250000	-71.607529
17578.125000	-72.830437
17625.000000	-75.036560
17671.875000	-77.583244
17718.750000	-81.303101
17765.625000	-87.866219
17812.500000	-81.587868
17859.375000	-77.430847
17906.250000	-78.655205
17953.125000	-78.546043
18000.000000	-82.855057
18046.875000	-85.276581
18093.750000	-83.302048
18140.625000	-88.712173
18187.500000	-86.748611
18234.375000	-84.876701
18281.250000	-86.718391
18328.125000	-86.826706
18375.000000	-86.679314
18421.875000	-87.107155
18468.750000	-86.952827
18515.625000	-85.993034
18562.500000	-87.017227
18609.375000	-86.819038
18656.250000	-86.840530
18703.125000	-85.505478
18750.000000	-87.258728
18796.875000	-86.743202
18843.750000	-86.753883
18890.625000	-87.718422
18937.500000	-86.461449
18984.375000	-87.203064
19031.250000	-84.993065
19078.125000	-88.515190
19125.000000	-86.647499
19171.875000	-87.062752
19218.750000	-87.625648
19265.625000	-86.063385
19312.500000	-87.336212
19359.375000	-86.086937
19406.250000	-89.209244
19453.125000	-85.516647
19500.000000	-87.377151
19546.875000	-87.217445
19593.750000	-86.504906
19640.625000	-87.777847
19687.500000	-86.694565
19734.375000	-88.593590
19781.250000	-84.930145
19828.125000	-88.599815
19875.000000	-86.875061
19921.875000	-87.126778
19968.750000	-87.645393
20015.625000	-86.581474
20062.500000	-87.783760
20109.375000	-85.576820
20156.250000	-89.872871
20203.125000	-85.953651
20250.000000	-87.409760
20296.875000	-87.237419
20343.750000	-86.756516
20390.625000	-87.288795
20437.500000	-86.933754
20484.375000	-88.793655
20531.250000	-85.400566
20578.125000	-88.038399
20625.000000	-86.918839
20671.875000	-87.338226
20718.750000	-87.416245
20765.625000	-87.292305
20812.500000	-87.362389
20859.375000	-86.183601
20906.250000	-88.362366
20953.125000	-86.986633
21000.000000	-87.148911
21046.875000	-87.435120
21093.750000	-87.112953
21140.625000	-86.957436
21187.500000	-87.341583
21234.375000	-88.072281
21281.250000	-86.523026
21328.125000	-87.417137
21375.000000	-86.904831
21421.875000	-87.764328
21468.750000	-86.822617
21515.625000	-87.908867
21562.500000	-87.219116
21609.375000	-86.923378
21656.250000	-87.105087
21703.125000	-87.703453
21750.000000	-87.398674
21796.875000	-87.028702
21843.750000	-87.630142
21890.625000	-86.965401
21937.500000	-87.570244
21984.375000	-87.143196
22031.250000	-88.079483
22078.125000	-86.540192
22125.000000	-87.487015
22171.875000	-87.514282
22218.750000	-87.073364
22265.625000	-87.583458
22312.500000	-87.220390
22359.375000	-87.723618
22406.250000	-86.632271
22453.125000	-88.046646
22500.000000	-87.404213
22546.875000	-87.063942
22593.750000	-87.836311
22640.625000	-86.819077
22687.500000	-87.943817
22734.375000	-86.572807
22781.250000	-88.585793
22828.125000	-86.875725
22875.000000	-87.341721
22921.875000	-87.513725
22968.750000	-87.239952
23015.625000	-87.425766
23062.500000	-87.225243
23109.375000	-88.135941
23156.250000	-86.563316
23203.125000	-87.983589
23250.000000	-87.203293
23296.875000	-87.335487
23343.750000	-87.485916
23390.625000	-87.643318
23437.500000	-87.298363
23484.375000	-86.845131
23531.250000	-88.413475
23578.125000	-86.932129
23625.000000	-87.484428
23671.875000	-87.375023
23718.750000	-87.604401
23765.625000	-87.115372
23812.500000	-87.382889
23859.375000	-87.969604
23906.250000	-86.848511
23953.125000	-87.521889
