Fréquence (Hz)	Niveau (dB)
19546.875000	-98.556358
19593.750000	-98.483284
19640.625000	-98.523346
19687.500000	-98.735367
19734.375000	-98.488899
19781.250000	-98.552071
19828.125000	-98.553261
19875.000000	-98.691452
19921.875000	-98.594360
19968.750000	-98.489990
20015.625000	-98.686989
20062.500000	-98.560829
20109.375000	-98.647606
20156.250000	-98.657043
20203.125000	-98.625961
20250.000000	-98.658028
20296.875000	-98.742058
20343.750000	-98.380844
20390.625000	-98.785629
20437.500000	-98.721550
20484.375000	-98.663788
20531.250000	-98.672371
20578.125000	-98.768700
20625.000000	-98.535149
20671.875000	-98.739418
20718.750000	-98.749214
20765.625000	-98.634300
20812.500000	-98.805000
20859.375000	-98.711395
20906.250000	-98.768951
20953.125000	-98.691124
21000.000000	-98.767113
21046.875000	-98.849731
21093.750000	-98.568794
21140.625000	-98.866753
21187.500000	-98.661354
21234.375000	-98.856636
21281.250000	-98.629623
21328.125000	-98.829575
21375.000000	-98.778481
21421.875000	-98.769554
21468.750000	-98.852951
21515.625000	-98.867340
21562.500000	-98.654068
21609.375000	-98.785500
21656.250000	-98.930679
21703.125000	-98.773697
21750.000000	-98.810394
21796.875000	-98.850044
21843.750000	-98.806793
21890.625000	-98.814018
21937.500000	-98.828278
21984.375000	-98.824501
22031.250000	-98.922745
22078.125000	-98.830902
22125.000000	-98.767960
22171.875000	-98.845856
22218.750000	-98.959511
22265.625000	-98.795998
22312.500000	-98.838074
22359.375000	-98.843163
22406.250000	-98.886223
22453.125000	-98.979889
22500.000000	-98.648956
22546.875000	-98.920479
22593.750000	-99.031471
22640.625000	-98.762726
22687.500000	-98.971428
22734.375000	-98.891151
22781.250000	-98.715752
22828.125000	-99.112595
22875.000000	-98.626541
22921.875000	-98.966591
22968.750000	-98.974159
23015.625000	-98.790459
23062.500000	-98.990158
23109.375000	-98.797791
23156.250000	-99.026001
23203.125000	-98.746986
23250.000000	-99.145905
23296.875000	-98.752876
23343.750000	-98.901039
23390.625000	-98.966896
23437.500000	-98.805870
23484.375000	-98.878098
23531.250000	-98.977776
23578.125000	-98.905830
23625.000000	-98.857773
23671.875000	-98.882309
23718.750000	-99.017471
23765.625000	-98.799438
23812.500000	-99.024879
23859.375000	-98.870338
23906.250000	-98.965813
23953.125000	-98.806442
